,year,month,lat,lon,depth,btm_sub,sfc_temp,sfc_salt,btm_temp,btm_salt,limfer_100m3
219,2000,3,40.5583,-72.54,39,2,5.71,32.399,4.97,33.053000000000004,0.0
220,2000,3,40.9783,-71.74,45,3,5.53,31.024,4.72,32.925,0.0
221,2000,3,41.2517,-71.12,44,2,5.5,32.608000000000004,4.58,32.736999999999995,0.0
222,2000,4,41.065,-70.6367,43,3,6.74,32.722,5.8,33.080999999999996,0.0
223,2000,4,41.1633,-70.3017,29,3,6.12,32.817,6.12,32.816,0.0
224,2000,4,40.4683,-70.7633,77,3,7.12,33.124,9.76,34.329,0.0
225,2000,4,40.6767,-71.3133,59,1,6.47,33.046,5.53,33.118,1.0
226,2000,4,40.37,-71.515,81,3,7.19,33.18,9.78,34.335,0.0
227,2000,4,40.1333,-70.7817,131,3,7.59,33.225,12.75,35.506,0.0
228,2000,4,40.0433,-70.1117,164,1,9.42,33.705999999999996,12.49,35.616,0.0
229,2000,4,39.945,-69.3783,203,3,12.59,34.794000000000004,12.47,35.628,0.0
230,2000,4,40.6883,-69.4733,44,1,6.83,33.234,6.78,33.234,1.0
231,2000,4,40.57,-69.795,62,3,6.99,33.251999999999995,7.79,33.716,0.0
232,2000,4,40.2117,-69.6967,83,3,8.03,33.458,10.55,34.739000000000004,1.0
233,2000,4,40.3883,-68.95,83,3,7.62,33.161,8.42,33.972,2.0
234,2000,4,40.62,-68.6633,61,2,7.03,33.034,6.87,33.199,2.0
235,2000,4,40.64,-68.13,85,3,7.99,33.266,7.92,33.82,1.0
236,2000,4,40.5467,-68.1783,94,3,7.96,33.125,10.05,34.731,8.0
237,2000,4,40.5017,-67.6333,133,3,7.4,33.145,12.73,35.608000000000004,1.0
238,2000,4,41.0033,-69.7117,31,3,6.76,32.766,6.59,32.786,0.0
239,2000,4,41.5,-69.77,23,3,5.72,32.264,5.72,32.597,0.0
240,2000,4,41.295,-68.5667,61,3,6.68,33.181,6.45,33.172,0.0
241,2000,4,41.2133,-68.255,49,1,6.93,33.005,6.89,33.024,0.0
242,2000,4,40.99,-68.325,46,1,6.98,32.977,6.98,32.979,0.0
243,2000,4,40.965,-67.62,66,3,6.64,32.946999999999996,6.65,32.971,5.0
244,2000,4,40.875,-67.5817,71,3,6.76,33.084,6.67,33.102,6.0
245,2000,4,41.065,-67.36,64,3,6.59,32.945,6.58,32.951,7.0
246,2000,4,40.9533,-67.2033,79,3,6.67,33.048,6.54,33.113,64.0
247,2000,4,40.84,-66.815,101,3,6.82,33.177,8.68,34.099000000000004,4.0
248,2000,4,40.8783,-66.645,142,3,6.7,33.184,9.03,34.266999999999996,4.0
249,2000,4,41.1617,-66.6783,80,3,6.57,33.043,6.48,33.225,30.0
250,2000,4,41.495,-67.0283,63,3,6.74,33.098,6.78,33.108000000000004,2.0
251,2000,4,41.6033,-67.3517,37,3,7.01,33.168,7.01,33.174,0.0
252,2000,4,41.34,-67.8533,42,3,7.23,33.174,7.21,33.169000000000004,0.0
253,2000,4,41.6183,-68.3067,38,3,6.82,33.126999999999995,6.77,33.132,1.0
254,2000,4,42.3017,-70.5333,76,2,5.79,32.344,4.71,32.927,0.0
255,2000,4,42.6767,-70.5,52,2,6.18,32.428000000000004,5.07,32.855,0.0
256,2000,4,42.685,-70.095,107,3,5.97,32.498000000000005,5.67,33.332,0.0
257,2000,4,42.1233,-70.3033,64,3,5.78,32.378,4.63,32.867,1.0
258,2000,4,41.7167,-67.9433,31,2,6.96,32.95,6.96,33.092,2.0
259,2000,4,42.005,-67.8383,169,2,6.86,33.205999999999996,7.82,34.139,0.0
260,2000,4,42.21,-68.105,190,3,6.53,32.977,6.85,33.702,0.0
261,2000,4,42.395,-68.7,196,3,6.61,33.260999999999996,6.43,33.606,0.0
262,2000,4,42.455,-67.7883,215,3,6.3,32.805,8.38,34.443000000000005,0.0
263,2000,4,41.885,-67.4633,55,2,7.09,33.147,7.08,33.15,0.0
264,2000,4,42.1033,-67.2167,50,3,6.82,33.272,6.73,33.334,0.0
265,2000,4,42.04,-66.95,63,3,6.78,33.076,6.78,33.08,2.0
266,2000,4,41.7717,-66.43,77,3,6.69,32.975,6.64,32.986999999999995,63.0
267,2000,4,41.5767,-66.475,85,3,6.66,32.977,6.56,32.981,20.0
268,2000,4,41.3933,-66.1617,190,3,6.69,32.973,12.75,35.583,0.0
269,2000,4,41.8017,-65.845,126,3,6.41,32.79,7.89,34.04,0.0
270,2000,4,42.0883,-66.02,172,3,6.38,32.702,7.08,33.744,0.0
271,2000,4,42.135,-66.175,110,3,6.72,32.853,6.91,33.493,0.0
275,2000,4,43.2067,-66.4817,90,3,6.07,32.607,6.04,32.746,0.0
277,2000,4,43.6167,-66.3617,76,3,5.71,32.010999999999996,5.48,32.31,0.0
278,2000,4,43.86,-66.6567,93,3,5.54,32.193000000000005,6.33,33.051,0.0
279,2000,4,43.9267,-67.2717,189,3,5.97,32.549,8.19,34.163000000000004,0.0
280,2000,4,44.32,-67.7433,74,3,4.73,31.204,4.77,31.51,0.0
281,2000,4,44.0917,-68.005,102,3,5.3,32.165,5.22,32.45,0.0
283,2000,4,43.145,-68.1417,166,3,6.01,32.67,6.22,33.446,0.0
284,2000,4,42.7983,-68.745,206,3,6.83,33.187,6.78,33.7,0.0
285,2000,5,43.2217,-70.3417,86,3,6.99,29.305,5.54,32.509,0.0
286,2000,5,43.5917,-69.885,86,2,7.17,29.391,5.26,32.354,0.0
287,2000,5,43.8517,-68.9433,36,3,6.97,30.27,5.43,31.932,0.0
288,2000,5,43.9167,-68.565,93,2,5.7,31.364,5.11,32.287,0.0
289,2000,5,43.45,-68.8867,96,3,6.57,32.339,5.56,32.9,0.0
290,2000,5,43.1067,-69.3833,194,3,7.8,32.691,6.05,33.455999999999996,0.0
291,2000,5,42.945,-69.2217,195,3,8.25,33.152,6.14,33.498000000000005,0.0
292,2000,3,39.45,-72.4367,121,3,8.65,33.864000000000004,13.32,35.648,0.0
293,2000,3,38.9183,-72.9117,129,3,10.87,34.669000000000004,13.13,35.707,0.0
294,2000,3,38.7917,-73.2717,75,3,9.29,34.012,11.5,35.195,0.0
295,2000,3,39.07,-73.5567,51,3,7.58,33.96,7.88,34.286,0.0
296,2000,3,38.7533,-73.5767,61,3,9.0,34.33,8.12,34.295,0.0
297,2000,3,38.3683,-73.585,138,3,12.58,35.406,12.5,35.543,0.0
298,2000,3,38.275,-74.2217,56,3,8.86,34.497,8.71,34.524,0.0
299,2000,3,38.13,-74.0833,70,3,8.71,34.426,8.73,34.425,0.0
300,2000,3,37.64,-74.5033,65,3,9.14,34.551,9.15,34.562,0.0
301,2000,3,37.3183,-74.7183,58,3,9.47,34.565,9.49,34.722,0.0
302,2000,3,36.9133,-74.6433,112,3,12.1,35.49,12.06,35.477,0.0
303,2000,3,36.7817,-74.9867,35,3,8.47,34.56,8.44,34.55,0.0
304,2000,3,36.2967,-74.815,92,3,12.35,35.506,11.49,35.366,0.0
305,2000,3,36.035,-75.135,34,3,7.91,34.092,7.72,34.063,0.0
306,2000,8,40.9967,-66.765,73,3,17.57,32.278,8.69,33.193000000000005,0.0
307,2000,8,41.19,-67.425,48,3,16.54,32.39,13.17,32.573,2.0
308,2000,8,41.37,-67.4433,42,3,15.89,32.411,15.8,32.419000000000004,0.0
309,2000,8,41.5633,-67.5283,39,3,16.71,32.406,16.67,32.402,0.0
310,2000,8,41.3933,-67.0467,60,3,14.24,32.486999999999995,13.28,32.534,0.0
311,2000,8,41.585,-67.0633,59,3,14.73,32.464,14.23,32.485,4.0
312,2000,8,41.5633,-66.4617,86,3,16.25,32.381,8.74,33.035,0.0
313,2000,8,41.5567,-66.3517,87,3,16.15,32.382,8.27,33.335,0.0
314,2000,8,41.7133,-66.235,86,3,15.59,32.383,9.04,32.798,0.0
315,2000,8,42.3267,-65.715,116,3,17.36,32.36,11.41,35.202,0.0
318,2000,8,42.09,-66.3967,85,3,17.76,32.221,7.51,33.256,0.0
319,2000,8,41.8767,-66.6533,72,3,15.96,32.402,13.06,32.564,0.0
320,2000,8,42.135,-66.9967,69,3,15.23,32.505,11.62,32.676,1.0
321,2000,8,42.0917,-67.2467,50,3,15.87,32.449,8.89,32.873000000000005,1.0
322,2000,8,41.8067,-67.265,50,3,16.0,32.489000000000004,15.92,32.443000000000005,0.0
323,2000,8,41.9567,-67.4283,42,2,15.63,32.531,15.31,32.506,3.0
324,2000,8,41.76,-67.8583,30,2,15.51,32.549,15.5,32.55,0.0
325,2000,8,41.4983,-67.975,35,2,17.49,32.385999999999996,17.49,32.385999999999996,0.0
326,2000,8,41.185,-68.2317,48,1,16.41,32.375,16.42,32.365,1.0
329,2000,8,42.325,-67.855,191,2,19.65,32.16,9.2,35.086999999999996,0.0
330,2000,8,42.25,-68.5967,182,3,19.72,32.004,6.37,33.594,0.0
331,2000,8,42.5833,-68.2667,184,2,19.84,32.396,7.82,34.154,0.0
332,2000,8,42.865,-68.485,165,3,19.52,32.364000000000004,6.86,33.793,0.0
333,2000,8,43.355,-68.4867,189,3,17.25,32.64,7.29,33.959,0.0
334,2000,8,43.1233,-67.91,190,3,18.96,32.397,7.44,33.857,0.0
338,2000,8,42.77,-66.57,145,2,16.14,32.385,9.07,34.291,0.0
339,2000,8,43.5983,-66.72,104,3,16.02,32.731,9.69,33.976,0.0
341,2000,8,43.915,-67.0583,161,2,15.26,32.891,8.71,34.232,0.0
342,2000,8,44.3967,-67.0417,122,3,14.35,32.768,8.62,33.93,0.0
343,2000,8,44.2683,-67.8217,76,3,13.53,32.39,10.92,32.693000000000005,0.0
345,2000,8,43.7833,-68.9617,52,3,14.61,32.067,10.59,32.541,0.0
346,2000,8,43.055,-69.1417,148,3,18.09,32.46,6.6,33.342,0.0
347,2000,8,43.2183,-69.49,135,3,18.12,32.378,6.32,33.205999999999996,0.0
348,2000,8,42.9583,-70.6883,29,3,19.14,31.419,10.12,32.1,0.0
349,2000,8,42.7417,-69.9333,202,3,18.54,31.926,6.89,33.833,0.0
351,2000,8,42.0967,-69.3967,203,2,19.84,32.309,6.23,33.547,0.0
352,2000,8,42.2567,-70.2033,38,1,18.03,31.961,8.23,32.365,0.0
353,2000,8,41.57,-68.9017,109,3,20.01,31.715,6.28,33.29,0.0
354,2000,8,41.0367,-68.8283,66,3,15.05,32.545,14.22,32.564,1.0
355,2000,8,40.875,-67.805,63,3,17.56,32.419000000000004,11.16,32.798,12.0
356,2000,8,40.8933,-67.3933,79,3,18.31,32.39,10.55,32.834,13.0
357,2000,8,40.9917,-67.0233,70,3,17.67,32.318000000000005,11.07,32.793,13.0
358,2000,8,40.595,-68.8383,65,3,19.44,33.039,11.57,33.783,13.0
359,2000,8,40.28,-68.805,97,3,22.66,34.411,12.4,35.107,0.0
360,2000,8,40.3483,-68.4083,112,3,22.75,34.367,12.4,35.491,0.0
361,2000,8,40.63,-68.3283,77,3,19.09,32.881,10.72,33.376999999999995,7.0
362,2000,8,40.4483,-67.9217,133,3,23.47,34.416,11.57,35.423,0.0
363,2000,8,40.4583,-67.7483,131,3,23.21,34.479,11.69,35.427,0.0
364,2000,8,40.4083,-67.4833,230,3,23.61,34.492,8.87,35.2,0.0
365,2000,8,40.6917,-67.625,77,3,19.82,32.507,10.45,33.861,0.0
366,2000,8,40.7483,-67.475,85,3,18.76,32.471,9.98,33.358000000000004,2.0
367,2000,9,40.165,-70.9933,135,3,19.34,33.11,13.24,35.753,0.0
368,2000,9,40.0817,-70.7133,131,3,20.66,33.868,13.58,35.751999999999995,0.0
369,2000,9,40.4167,-71.045,82,3,19.93,33.821,12.15,34.125,0.0
370,2000,9,40.7517,-70.9883,57,3,19.07,32.867,11.07,33.34,0.0
371,2000,9,40.9683,-71.1967,51,3,17.66,31.968000000000004,12.97,32.985,0.0
372,2000,9,40.8983,-70.36,44,3,16.17,32.271,14.23,32.775,0.0
373,2000,9,41.055,-70.4917,41,3,17.58,32.351,14.27,32.81,0.0
374,2000,9,41.2883,-71.3067,34,2,18.61,32.093,15.79,32.646,0.0
375,2000,9,40.74,-70.6383,58,3,18.86,32.969,12.4,33.321999999999996,0.0
376,2000,9,40.2383,-70.3683,100,3,19.2,32.705999999999996,13.14,35.2,0.0
377,2000,9,40.06,-69.87,130,3,18.49,32.333,12.82,35.446,0.0
378,2000,9,40.2183,-69.3483,87,3,17.89,32.312,10.02,33.694,0.0
379,2000,9,40.0633,-68.9933,178,3,18.06,32.548,11.88,35.52,0.0
380,2000,9,40.3033,-68.3233,145,3,17.66,32.501999999999995,11.94,35.473,0.0
381,2000,9,40.595,-68.03,89,3,17.3,32.472,10.11,33.052,0.0
382,2000,9,40.6033,-67.6133,92,3,16.63,32.395,10.15,33.624,0.0
383,2000,9,40.59,-67.125,167,3,16.62,32.352,10.41,35.204,0.0
384,2000,9,40.935,-66.7167,91,3,16.3,32.34,10.09,33.975,0.0
385,2000,9,40.8383,-67.3,88,3,15.81,32.408,10.11,33.113,0.0
386,2000,9,41.0367,-67.805,51,3,14.93,32.461,14.99,32.463,0.0
387,2000,9,40.8567,-68.3667,51,3,15.07,32.476,15.07,32.477,0.0
388,2000,9,40.5683,-68.6933,64,3,15.84,32.423,11.6,32.793,0.0
390,2000,9,41.18,-68.705,65,3,15.88,32.439,15.52,32.458,0.0
391,2000,10,41.305,-66.955,65,3,15.18,32.552,12.5,32.779,0.0
392,2000,10,41.51,-67.0617,59,3,15.71,32.385999999999996,14.69,32.492,0.0
393,2000,10,41.9133,-67.3583,31,2,15.27,32.43,15.24,32.46,0.0
394,2000,9,38.85,-73.0017,102,3,23.93,35.056,11.21,34.381,0.0
395,2000,9,38.69,-74.0417,50,3,19.04,32.811,10.53,32.864000000000004,0.0
396,2000,9,38.2733,-73.745,109,3,23.85,34.814,14.86,35.668,0.0
397,2000,9,37.9983,-74.1633,86,3,23.65,35.399,10.05,33.594,0.0
398,2000,9,38.06,-74.4383,43,3,20.38,32.496,12.39,32.582,0.0
399,2000,9,35.7517,-75.3783,17,3,24.08,30.519000000000002,23.26,31.5,0.0
400,2000,9,36.1767,-75.4017,24,3,23.78,31.066999999999997,22.88,31.569000000000003,0.0
401,2000,9,36.365,-75.6017,24,3,23.62,31.261999999999997,22.98,31.333000000000002,0.0
402,2000,9,41.2617,-68.96,129,3,13.73,32.416,6.77,33.156,0.0
403,2000,9,41.1183,-69.61,28,3,14.92,32.108000000000004,14.94,32.105,0.0
404,2000,9,41.6667,-69.2917,184,3,16.07,32.258,6.23,33.457,0.0
405,2000,10,41.7317,-68.1333,47,3,15.84,32.373000000000005,15.32,32.476,0.0
406,2000,10,41.5683,-68.3383,37,3,16.31,32.418,15.62,32.444,0.0
407,2000,10,41.5583,-67.89,34,3,16.35,32.413000000000004,16.3,32.408,0.0
408,2000,10,41.4967,-67.5083,40,3,16.61,32.389,16.55,32.385999999999996,0.0
409,2000,10,41.3233,-67.545,41,3,16.33,32.391999999999996,16.19,32.388000000000005,0.0
410,2000,10,41.2183,-67.3167,50,3,15.63,32.429,15.13,32.442,0.0
411,2000,9,37.8133,-74.66,47,3,20.21,32.905,16.44,33.036,0.0
412,2000,9,37.61,-74.85,36,3,19.51,32.33,20.07,33.387,0.0
413,2000,9,37.1283,-74.5917,99,3,24.07,34.769,15.22,35.695,0.0
414,2000,9,36.8717,-74.745,77,3,22.58,34.037,11.36,33.719,0.0
415,2000,9,36.7333,-74.9633,34,3,21.84,32.876999999999995,17.6,32.991,0.0
416,2000,9,36.1917,-74.8617,80,3,19.59,32.324,10.63,33.438,0.0
417,2000,9,35.9117,-74.98,53,3,22.12,31.823,15.77,32.818000000000005,0.0
419,2000,9,35.3033,-75.4883,14,3,24.19,29.87,24.11,29.815,0.0
420,2000,10,41.8433,-67.6883,37,3,15.4,32.457,15.2,32.458,0.0
421,2000,10,41.9683,-67.7967,68,3,15.28,32.435,13.19,32.586999999999996,0.0
422,2000,10,42.1733,-68.11,200,3,14.62,32.429,8.89,34.766999999999996,0.0
423,2000,10,42.14,-67.3083,110,2,14.65,32.472,6.96,33.472,0.0
